prior,method,z0,lower,upper,length,theta_true
Spiky,DKW-F,0.0,-0.4215433640446742,0.44468906900181915,0.8662324330464933,0.0
Spiky,Gauss-F,0.0,-0.28273178843755176,0.31545888466359684,0.5981906731011486,0.0
Spiky,Smooth-W₁ (CLT),0.0,-0.3516616212168623,0.37134857070413363,0.7230101919209959,0.0
Spiky,W₁ (CLT),0.0,-0.3414716010913658,0.36297247550938183,0.7044440766007476,0.0
Spiky,W₁ (DKW),0.0,-1.1446902128564171,1.1603919864469003,2.3050821993033175,0.0
Spiky,W₁ (boot),0.0,-0.33412231926987035,0.354841960761727,0.6889642800315974,0.0
Spiky,DKW-F,0.5,-0.32995377012999,0.603729808583629,0.9336835787136191,0.1299149880633931
Spiky,Gauss-F,0.5,-0.15705217698069746,0.4620621587695356,0.6191143357502331,0.1299149880633931
Spiky,Smooth-W₁ (CLT),0.5,-0.24145404574453222,0.5301157693115282,0.7715698150560604,0.1299149880633931
Spiky,W₁ (CLT),0.5,-0.2316361373402025,0.5161113497904937,0.7477474871306962,0.1299149880633931
Spiky,W₁ (DKW),0.5,-0.9798372976544101,1.405217293141155,2.385054590795565,0.1299149880633931
Spiky,W₁ (boot),0.5,-0.22418375534544516,0.5070348014318387,0.7312185567772838,0.1299149880633931
Spiky,DKW-F,1.0,-0.24543903900076897,0.8666438488289244,1.1120828878296933,0.285620268437118
Spiky,Gauss-F,1.0,-0.06588233318845764,0.7626891970994252,0.8285715302878828,0.285620268437118
Spiky,Smooth-W₁ (CLT),1.0,-0.12134137954321976,0.8043133517602684,0.9256547313034882,0.285620268437118
Spiky,W₁ (CLT),1.0,-0.1127465787523749,0.7890038876572533,0.9017504664096282,0.285620268437118
Spiky,W₁ (DKW),1.0,-0.8595064637051941,1.7949980973238162,2.65450456102901,0.285620268437118
Spiky,W₁ (boot),1.0,-0.10386032152307412,0.7793429059096172,0.8832032274326913,0.285620268437118
Spiky,DKW-F,1.5,-0.19519892515023693,1.2429196440964438,1.4381185692466807,0.5004711519786452
Spiky,Gauss-F,1.5,-0.023637759487398134,1.1786822188514876,1.2023199783388858,0.5004711519786452
Spiky,Smooth-W₁ (CLT),1.5,-0.03360098262961333,1.172104216682134,1.2057051993117474,0.5004711519786452
Spiky,W₁ (CLT),1.5,-0.024423477641947723,1.1543729542504393,1.178796431892387,0.5004711519786452
Spiky,W₁ (DKW),1.5,-0.7884746104689567,2.314218269326387,3.1026928797953435,0.5004711519786452
Spiky,W₁ (boot),1.5,-0.014381801431232197,1.1422797385654515,1.1566615399966838,0.5004711519786452
Spiky,DKW-F,2.0,-0.1671999978189055,1.8597967501348684,2.026996747953774,0.8174405959520651
Spiky,Gauss-F,2.0,-0.005096381774420516,1.779412918587698,1.7845093003621184,0.8174405959520651
Spiky,Smooth-W₁ (CLT),2.0,0.032604378403917514,1.7118248595871548,1.6792204811832372,0.8174405959520651
Spiky,W₁ (CLT),2.0,0.042952796947716365,1.687235669463491,1.6442828725157745,0.8174405959520651
Spiky,W₁ (DKW),2.0,-0.7518964530657204,2.9925355832902993,3.7444320363560197,0.8174405959520651
Spiky,W₁ (boot),2.0,0.055982828247111496,1.6722435188383167,1.6162606905912051,0.8174405959520651
Spiky,DKW-F,2.5,-0.12893211498536386,2.7159452399752584,2.844877354960622,1.2703510493065493
Spiky,Gauss-F,2.5,-0.004767187141554404,2.6771312700677257,2.68189845720928,1.2703510493065493
Spiky,Smooth-W₁ (CLT),2.5,0.07708759417813131,2.4453958367187405,2.3683082425406092,1.2703510493065493
Spiky,W₁ (CLT),2.5,0.0911040250357191,2.4126310865668694,2.3215270615311505,1.2703510493065493
Spiky,W₁ (DKW),2.5,-0.6892049188357067,3.8230574189394515,4.512262337775158,1.2703510493065493
Spiky,W₁ (boot),2.5,0.10657026898380995,2.3924259441716806,2.2858556751878707,1.2703510493065493
