prior,method,z0,lower,upper,length,theta_true
NegSpiky,Smooth-W₁ (CLT),0.5,-0.3349037724741336,0.16458156096085633,0.4994853334349899,-0.12274155445787531
NegSpiky,W₁ (CLT),0.5,-0.331334434854376,0.16003125765912224,0.49136569251349826,-0.12274155445787531
NegSpiky,W₁ (DKW),0.5,-1.0163510147271375,1.1150493430075885,2.131400357734726,-0.12274155445787531
NegSpiky,W₁ (boot),0.5,-0.32757718173617756,0.15470097633956575,0.4822781580757433,-0.12274155445787531
NegSpiky,DKW-F,1.0,-0.4116299900094348,0.5015213495517197,0.9131513395611545,-0.021952035113312816
NegSpiky,Gauss-F,1.0,-0.32417213279290663,0.48681411938462826,0.8109862521775348,-0.021952035113312816
NegSpiky,Smooth-W₁ (CLT),1.0,-0.29862452908633996,0.365162444046661,0.663786973133001,-0.021952035113312816
NegSpiky,W₁ (CLT),1.0,-0.29384190039248825,0.3572271674923672,0.6510690678848554,-0.021952035113312816
NegSpiky,W₁ (DKW),1.0,-0.9618544163758489,1.5173338013450177,2.479188217720867,-0.021952035113312816
NegSpiky,W₁ (boot),1.0,-0.2896495505472173,0.3498327820217956,0.6394823325690129,-0.021952035113312816
NegSpiky,DKW-F,1.5,-0.40284344443184655,0.9232572007192417,1.3261006451510882,0.1264910483620778
NegSpiky,Gauss-F,1.5,-0.31988710671501536,0.9557717286008863,1.2756588353159017,0.1264910483620778
NegSpiky,Smooth-W₁ (CLT),1.5,-0.2734516131316763,0.7080841564289471,0.9815357695606234,0.1264910483620778
NegSpiky,W₁ (CLT),1.5,-0.2681109034316834,0.6903488275747383,0.9584597310064217,0.1264910483620778
NegSpiky,W₁ (DKW),1.5,-0.9347033272981224,2.100383696609255,3.0350870239073773,0.1264910483620778
NegSpiky,W₁ (boot),1.5,-0.26300523881678045,0.6798096927648272,0.9428149315816077,0.1264910483620778
NegSpiky,DKW-F,2.0,-0.39852906553925627,1.652154254706734,2.0506833202459904,0.3524647433009833
NegSpiky,Gauss-F,2.0,-0.31965737566830715,1.7239703199603873,2.0436276956286945,0.3524647433009833
NegSpiky,Smooth-W₁ (CLT),2.0,-0.2587202280189772,1.2902546570949962,1.5489748851139735,0.3524647433009833
NegSpiky,W₁ (CLT),2.0,-0.253465683669515,1.2570924234609735,1.5105581071304885,0.3524647433009833
NegSpiky,W₁ (DKW),2.0,-0.9239004416367042,2.8742024281995855,3.7981028698362898,0.3524647433009833
NegSpiky,W₁ (boot),2.0,-0.24773029924209258,1.2418614233791967,1.4895917226212894,0.3524647433009833
NegSpiky,DKW-F,2.5,-0.33928354644939507,2.7035696187009557,3.0428531651503508,0.6784642267246147
NegSpiky,Gauss-F,2.5,-0.31943925745674484,2.817986242456611,3.137425499913356,0.6784642267246147
NegSpiky,Smooth-W₁ (CLT),2.5,-0.2512980248097242,2.1651647746492757,2.416462799459,0.6784642267246147
NegSpiky,W₁ (CLT),2.5,-0.24631141624499805,2.115274945942788,2.361586362187786,0.6784642267246147
NegSpiky,W₁ (DKW),2.5,-0.9104022431826733,3.8045879734202286,4.714990216602902,0.6784642267246147
NegSpiky,W₁ (boot),2.5,-0.2402254107519024,2.092953278733804,2.3331786894857065,0.6784642267246147
NegSpiky,DKW-F,3.0,-0.27474466111557694,3.9479404198939863,4.222685081009563,1.0862713932428893
NegSpiky,Gauss-F,3.0,-0.3192250507158181,4.072190664115188,4.391415714831005,1.0862713932428893
NegSpiky,Smooth-W₁ (CLT),3.0,-0.24358542040336464,3.2762415615031033,3.519826981906468,1.0862713932428893
NegSpiky,W₁ (CLT),3.0,-0.23923034088441802,3.2194758931336387,3.4587062340180568,1.0862713932428893
NegSpiky,W₁ (DKW),3.0,-0.91013175183312,4.842984565024286,5.753116316857406,1.0862713932428893
NegSpiky,W₁ (boot),3.0,-0.23290326753766796,3.193726709950603,3.426629977488271,1.0862713932428893
