z0,lower_DKW_F_Loc,upper_DKW_F_Loc,lower_Gauss_F_Loc,upper_Gauss_F_Loc,lower_Wasserstein_DKW,upper_Wasserstein_DKW,lower_Wasserstein_bootstrap,upper_Wasserstein_bootstrap,lower_Wasserstein_clt,upper_Wasserstein_clt,lower_Smoothed_Wasserstein_clt,upper_Smoothed_Wasserstein_clt
-0.3999999999999999,-0.1676135619875592,0.06087215793051196,-0.15075842933662834,-0.018515491642922408,-0.4115296452377446,0.24176233620192814,-0.11816495096920662,0.02474169516835912,-0.11504555420208623,0.022591637023919482,-0.1175367526560461,0.02384455562156492
-0.19999999999999973,-0.13458365826064572,0.08017584686406719,-0.11578827147935296,0.017378556613593776,-0.3601820247633784,0.2730292823375195,-0.09360794915793497,0.043984673014386556,-0.0907455015953992,0.04163237213438112,-0.09195526486699114,0.04333029590109886
0.0,-0.10181996740471037,0.10492286455917003,-0.07713392464544472,0.05110997602923357,-0.316181573629751,0.3094993991608265,-0.07127964922173391,0.06488587852846872,-0.0687530726940334,0.06236712900702242,-0.06954918353594312,0.0642057335448118
0.20000000000000018,-0.07426699661626576,0.12628289589785707,-0.03904304971988967,0.08831216507648146,-0.2776305864001286,0.3533230795409003,-0.04979647038646619,0.08787139149082622,-0.04745812846171969,0.08505121810400701,-0.04830855710933471,0.08750660942669974
0.40000000000000036,-0.05390230160248775,0.14723870764954777,-0.01361464089846482,0.1431675575360208,-0.24423971376410925,0.4066344546866474,-0.02791479369704824,0.1160069979503017,-0.02573308228780922,0.11286323349538085,-0.026777524282169674,0.11515634150424792
0.6000000000000001,-0.03538983152475816,0.17465890252835867,0.013592275200785427,0.20552836489741197,-0.2157020634407976,0.47200018473591404,-0.006642568492148351,0.14925350134811735,-0.004545230561697582,0.14557725834173882,-0.006108564540925759,0.1480464278438995
0.8000000000000003,-0.015847405406886894,0.21448861356041388,0.04634928988441498,0.26736677271339226,-0.19012792884923674,0.5494205081767378,0.012730023065383643,0.18715659172339139,0.014873504372754934,0.1827960483136271,0.0132002918224184,0.18641275440324384
1.0,0.00956145332660436,0.2707744576068839,0.07398919630374592,0.3262811932328711,-0.16285315826719032,0.6427692347905057,0.031615044075559456,0.23182155553088069,0.03389122208315178,0.22664126615191543,0.032293448099479434,0.231587980139432
1.2000000000000002,0.04532534605908425,0.34422062265918324,0.08778962342112745,0.3817244828902139,-0.13289818937913406,0.7543102439241923,0.05286297009577619,0.2842515024237231,0.055025517966168176,0.27828056485172137,0.05344780092080659,0.2856853036048626
1.4000000000000004,0.06824922651418058,0.4248420171645908,0.09982423515382242,0.4487172256150411,-0.10276390213746144,0.8907572796003872,0.07920414025928123,0.3492850671315871,0.08130268455152763,0.34194546520810437,0.07978645702306415,0.352124375473391
1.6000000000000005,0.08631750984613897,0.510640992798333,0.11179534518814223,0.5466445794462407,-0.09058212051855175,1.0579706372536746,0.1113400702809573,0.43276842263092596,0.11364836249569041,0.4239514953174691,0.11216607206892809,0.43598778135248295
1.8000000000000007,0.09814326784473192,0.6210794463846918,0.1237274216341597,0.6845511034422751,-0.07878651575221404,1.258376468550159,0.14194311692057343,0.5408249142682202,0.14576940443121061,0.5303690809067498,0.14347166029329905,0.5444452141018921
2.0,0.10996864144696744,0.7694702023231134,0.13563553931992955,0.8777062828762484,-0.06699066136434345,1.4990322132238214,0.16644378881825495,0.6773291727085602,0.17350592299726827,0.6651120202153384,0.16775962849194365,0.6814202741872926
2.2,0.12179363161013662,0.977779402260295,0.1475289841404869,1.146182401715317,-0.055194556757324376,1.7852127448087618,0.17997412994846929,0.8521431684803084,0.19000341387204828,0.8382546808578191,0.18160281225309233,0.8574145677352638
2.4000000000000004,0.13361823931321828,1.2635895350585349,0.15941347503611691,1.4851345127167037,-0.04339820218533538,2.1159687548707753,0.19185081101934437,1.0756834725446656,0.20211547030631757,1.058822559185371,0.19353607931221517,1.0827462420567013
2.6000000000000005,0.1454424655564723,1.6238808607457946,0.1712925333661355,1.877405612616907,-0.0316015957231949,2.442772820833433,0.20370478185245783,1.363945308438124,0.21416200381041198,1.344047434148282,0.20543599222910933,1.3708602975438016
2.8000000000000007,0.15726631136103436,2.0220042914786016,0.18316832667463318,2.2415202891199795,-0.019804735282130365,2.671245557068913,0.21554240068239178,1.7241126764837775,0.22616065996481516,1.700821105863206,0.21731246504982368,1.7262636493150127
3.0,0.16908977776851206,2.3664618581621375,0.19504218852996785,2.5234164288975873,-0.008007619745596078,2.8183023598583854,0.22736764359127104,2.1129312030286664,0.23812260344343872,2.090406325474874,0.2291718870824598,2.1143203020847006
